,selectivity_score
selectivity_score,1.0
MW,-0.40691574247760304
logP,0.1715845833104199
TPSA,-0.5912648948553679
HBD,-0.18778632164080417
HBA,-0.42668622176370824
RotB,-0.492646369049574
