receptor,ligand_id
cathepsin_d,cand_22r3s33as4r6ar233a456ahexahy_4
cathepsin_d,cand_22r3s33as4r6ar233a456ahexahy_5
cathepsin_d,cand_22r3s33as4r6ar233a456ahexahy_6
cathepsin_d,cand_2h13diazepin2one_hexahydro56
cathepsin_d,cand_2h13diazepin2one_hexahydro56_2
cathepsin_d,cand_2h13diazepin2one_hexahydro56_3
cathepsin_d,cand_2h13diazepin2one_hexahydro56_4
cathepsin_d,cand_2pyridinesulfonamide_n456dih
cathepsin_d,cand_2pyridinesulfonamide_n46s56d
cathepsin_d,cand_2r3s33as4r6ar233a456ahexahyd_2
cathepsin_d,cand_2r3s33as4r6ar233a456ahexahyd_3
cathepsin_d,cand_2r3s33as4r6ar233a456ahexahyd_5
cathepsin_d,cand_2r44aminopiperidin1yl2benzyl
cathepsin_d,cand_2r4s2benzyl55r5benzyl2oxo3py
cathepsin_d,cand_2r4s2benzyl55r5benzyl2oxo3py_2
cathepsin_d,cand_2s12s4r4benzyl2hydroxy52r2hy
cathepsin_d,cand_2s12s4r4benzyl2hydroxy52r2hy_2
cathepsin_d,cand_2s12s4r4benzyl2hydroxy52r2hy_3
cathepsin_d,cand_2s12s4r4benzyl2hydroxy52r2hy_4
cathepsin_d,cand_2s12s4r4benzyl2hydroxy52r2hy_5
cathepsin_d,cand_2s12s4r4benzyl2hydroxy52r2hy_6
cathepsin_d,cand_2s12s4r4benzyl2hydroxy52r2hy_7
cathepsin_d,cand_2s12s4r4benzyl2hydroxy52r2hy_8
cathepsin_d,cand_2s12s4s4benzyl2hydroxy51s2r2
cathepsin_d,cand_3ar6s7as52r3r2hydroxy33hydro
cathepsin_d,cand_3as4r6ar233a456ahexahydrofur
cathepsin_d,cand_3as4r6ar233a456ahexahydrofur_2
cathepsin_d,cand_3r3as6arhexahydrofuro23bfura
cathepsin_d,cand_4r32s3s32ethyl3hydroxyphenyl
cathepsin_d,cand_4r5s6s7r13dibenzyl47biscyclo
cathepsin_d,cand_4r5s6s7r13dibenzyl56dihydrox
cathepsin_d,cand_4r5s6s7r13dibenzyl56dihydrox_2
cathepsin_d,cand_4r5s6s7r13dibenzyl56dihydrox_3
